MENU_LEVEL,MENU_TREE,MENU_ID,,96122,96512,92077,97037,9051,15070,15101,08363,22012,15257,21001,08375,92260
1,  Tax System,5,,,,,,,,,P,,P,P,,
2,    Master Parameter,6,,,,,,,,,,,,,,
3,      Parameters,7,,,,,,,,,,,,,,
3,      Prefix Maintenance,8,,,,,,,,,,,,,,
3,      WHT Running No.,9,,P,,,,,,,,,,,,
2,    Input Tax,10,,,,,,,,,P,,P,P,,
3,      Transfer Input Tax,11,,,,,, ,,,P, ,P,P,,
3,      Maintain Input Tax,12,,P,P,,,P,,,P,P,P,P,,
3,      Input Tax Report,13,,P,,,,P,,,P,P,P,P,,
2,    Output Tax,14,,,,,,,,,P,,P,P,,
3,"      Transfer Output Tax (Fix Enterprise Unit)
",15,,P,,,,,,,P,,P,P,,
3,      Transfer Receipt to Output Tax,16,,P,,,,,,,P,,P,P,,
3,      Maintain Output tax,17,,P,,,,,,,P,,P,P,,
3,      Output tax Report,18,,P,,,,,,,P,,P,P,,
3,      รายงานภาษีขาย 0,19,,P,,,,,,,P,,P,P,,
3,      Output tax Report(ยื่นเพิ่ม),20,,,,,,,,,P,,P,P,,
3,      รายงานภาษีขาย0% (ยื่นเพิ่ม),21,,,,,,,,,P,,P,P,,
2,    WHT Tax,22,,,,,,,,,P,,P,P,,
3,      Transfer Withholdding Tax (STD),23,,P,,,,,,,,,,,,
3,      Maintain Witholding Tax,24,,P,,,,,,,P,,,P,,
3,      Generate WHT Number - Group by Rate,25,,P,,,,,,, ,, , ,,
3,      TWI Printing (Non-preprint From),26,,P,,,,,,,,,,,,
3,      Cacel Withholding Tax,27,,P,,,,,,,,,,,,
3,      Phor ngor dor Printing,28,,,,,,,,,P,,P,P,,
3,      Special WHT Report,29,,,,,,,,,P,,P,P,,
3,      RE-Activated Status Witholding Tax,30,,,,,,,,,,,,,,
3,      Update Receipt No for Special WHT Report,31,,,,,,,,,P,,P,P,,
3,      Witholding Tax,32,,P,,,,,,,P,,P,P,,
3,      Download Phor Ngor Dor (CSV File),33,,,,,,,,,P,,P,P,,
3,      Withholding Tax by Invoic,34,,P,,,,,,,,,,,,
1,  Add-On Program,35,,,,,,,,,P,,P,P,,
2,    Fixed Assets,36,,,,,,,,,,,,,,
3,      Transfer FAM to LN,37,,,,,,,,,P,,,P,,
3,      Create Assets Process,38,,,,,,,,,P,,,P,,
3,      Dispose Assets Process,39,,,,,,,,,P,,,P,,
3,      Create Assets for Write Off,40,,,,,,,,,P,,,P,,
3,      Maintain Assets for Write Off,41,,,,,,,,,P,,,P,,
3,      Write Off Process,42,,,,,,,,,P,,,P,,
3,      Write CSV File GL for Write Off,43,,,,,,,,,P,,,P,,
3,      Write CSV File GL for Depreciation,44,,,,,,,,,P,,,P,,
3,      Fixed Asset Register,45,,,,,,,,,P,,,P,,
3,      Report of Fixed Assets Write-Off Book Value 1 Baht,46,,,,,,,,,P,,,P,,
3,      Fixed Asset Transaction in This Moth,47,,,,,,,,,P,,,P,,
3,      Deprecaiation Report bu Group,48,,,,,,,,,P,,,P,,
3,      Report Assets for Dispose,49,,,,,,,,,P,,,P,,
3,      Fixed Asset Register (Plan),50,,,,,,,,,P,,,P,,
3,      Create GL Data of Deprciation,51,,,,,,,,,P,,,P,,
3,      Create GL Data of Write Off,52,,,,,,,,,P,,,P,,
3,      Miscellaneous,53,,,,,,,,,P,,,P,,
4,        Change DDB to SL,54,,,,,,,,,P,,,P,,
4,        Change DDB to SL Inquiry,55,,,, , ,,,,P,,,P,,
2,    AP and Payment,56,,,,P,,,,,,,,,,
3,      Bank Accounts by Pay-to Business Partner,57,,,,,,P,,,,P,,,,
3,      AP Month End,58,,,P,,,P,,,,P,,,,
3,      Recovery AP Month-End,59,,,P,,,P,,,,P,,,,
3,      Display AP Month End Data,60,,,P,,,P,,,,P,,,,
3,      Standard Cost Import From Excel,61,,,,,,P,,,,P,,,,
3,      Transfer Standard Cost tot ACP,62,,,,,,P,,,,P,,,,
3,      Purchase Price Variance,63,,,,,,P,,,,P,,,,
3,      Summary AP Invoice Report,64,,,,,,P,,,,P,,,,
3,      Summary Account Payable,65,,,P,,,P,,,,P,,,,
3,      Summary Account Payable  - Outstanding,66,,,P,,,P,,,,P,,,,
3,      A/P Revaluation Report,67,,,P,,,P,,,,P,,,,
3,      Payment Report for Vendor,68,,,,P,P,,,,,,,,,
3,      Summary of Billing Receipt Slip,69,,,,,,,,,,,,,,
3,      Data Transfer to Bank,70,,,,P,P,,,,,,,,,
3,      AP Data Import From Excel,71,,,,,,P,,,,P,,,,
3,      Upload AP Invoice,72,,,,,,P,,,,P,,,,
3,      Transfer Payment To BAY,73,,,,P,P,,,,,,,,,
3,      Write Temp file for Oversea Payment,74,,,,P,P,,,,,,,,,
3,      Temp file for Oversea Payment,75,,,,P,P,,,,,,,,,
3,      Export Textfile for Oversea Payment,76,,,,P,P,,,,,,,,,
3,      Transfer Payment Netting,77,,,,P,P,,,,,,,,,
2,    AR and Collection,78,,,,,,,,,P,,P,P,,
3,      AR Month End,80,,P,,,,,,,,,,,,
3,      Recover AR Month End,81,,P,,,,,,,,,,,,
3,      Display AR Month End Data,82,,P,,,,,,,,,,,,
3,      Summary AR Invoice Report,83,,P,,,,,,,,,,,,
3,      Summary Account Receivable - Outstanding,84,,P,,,,,,,,,,,,
3,      A/R Revaluation Report,85,,P,,,,,,,,,,,,
3,      Print Invoice,86,,P,,,,,,,,,,,,
3,      เลขที่ใบขน Import from Excel,87,,P,,,,,,,P,,P,P,,
3,      Update เลขที่ใบขน,88,,P,,,,,,,P,,P,P,,
3,      Print Receipt,89,,P,,,,,,,,,,,,
3,      AR Data Import From Excel,90,,P,,,,,,,,,,,,
3,      Upload AR Invoice,91,,P,,,,,,,,,,,,
3,      E-TAX Invoice Import from Excel,92,,P,,,,,,,P,,P,P,,
3,      E-TAX Invoice Printing,93,,P,,,,,,,P,,P,P,,
3,      Sale Data Import from Excel,94,,P,,,,,,,,,,,,
3,      Create Direct Debit Batch,95,,P,,,,,,,,,,,,
2,    General Ladger,96,,,,P,,,,,,,,P,,
3,      Journal Voucher,97,,P,P,P,P,P,,P,P,P,P,P,,
3,      Journal Voucher (1),98,,P,P,P,P,P,P,P,P,P,P,P,,
3,      GL Data Import from Excel,99,,P,P,,,P,,P,P,P,P,P,,
3,      Upload GL,100,,P,P,,,P,,P,P,P,P,P,,
3,      Transaction List,101,,P,P,P,P,P,P,P,P,P,P,P,,
3,      Receipt/Disbursement Slip,102,,P,,P,P,,,,P,,P,P,,
3,      Receipt/Disbursement Slip(1),103,,P,,P,P,,,,P,,P,P,,
3,      Cash Flow Report,104,,,,P,P,,,,,,,,,
3,      Create GL Data of AR Revaluation,105,,P,,,,,,,,,,,,
3,      Create GL data of AP Revaluation,106,,,P,,,P,,,,P,,,,
3,      Write Data for CDGIS,107,,,P,,,,,,,,,,,
3,      Write Data fot CDGIS(Display),108,,,P,,,,,,,,,,,
3,      CDGIS Master,109,,,P,,,,,,,,,,,
3,      Write Excel for CDGIS,110,,,P,,,,,,,,,,,
3,      Trial Balance For Excel,111,,,,,,P,,,,,,,,
2,    Training art,112,,,,,,,,,,,,,,
3,      Transaction list for check expense,113,,,,,,,P,,,,,,,
1,  e-Tax Invoice and e-Receipt,114,,,,,,,,,P,,P,P,,
2,    Master Data,115,,,,,,,,,P,,P,P,,
3,      e-Tax Parameter,118,,,,,,,,,P,,P,P,,
3,      RD/ETDA 1001 Document Name,119,,,,,,,,,P,,P,P,,
3,      RD 1225 Thai Message Function Code,120,,,,,,,,,P,,P,P,,
3,      UN/EDIFACT 5189 Allowance or Charge Identification Code,121,,,,,,,,,P,,P,P,,
3,      UN/EDIFACT 5153 Duty or Tax or Fee type name code,122,,,,,,,,,P,,P,P,,
2,    Transaction,116,,,,,,,,,P,,P,P,,
3,      E-Tax Invoice Printing,123,,P,,,,,,,P,,P,P,,
3,      e_Tax Documents,124,,P,,,,,,,P,,P,P,,
